riboseq_counts rnaseq_counts cds_length total_mapped_riboseq total_mapped_rnaseq rpkm_riboseq rpkm_rnaseq te ensembl_tx_id entrez external_gene_id transcript_biotype
ENST00000252172.4 303 19 5817 20201281 1099616604 2.57848527122158 0.00297038845445119 868.063322612795 ENST00000252172 8735 MYH13 protein_coding
ENST00000418404.3 303 19 5817 20201281 1099616604 2.57848527122158 0.00297038845445119 868.063322612795 ENST00000418404 8735 MYH13 protein_coding
ENST00000570743.1 303 19 5817 20201281 1099616604 2.57848527122158 0.00297038845445119 868.063322612795 ENST00000570743 8735 MYH13 protein_coding
ENST00000359698.4 3630 384 80 20201281 1099616604 2246.14468755719 4.36515780367391 514.562081963391 ENST00000359698 10345 TRDN protein_coding
ENST00000422596.1 3630 384 134 20201281 1099616604 1340.98190301922 2.60606436040233 514.562081963391 ENST00000422596 10345 TRDN protein_coding
ENST00000600067.1 52 10 132 20201281 1099616604 19.5007135408588 0.0688945360428331 283.051670871763 ENST00000600067 NA CTD-2616J11.11 nonsense_mediated_decay
ENST00000521297.1 3 1 223 20201281 1099616604 0.665943649722326 0.00407806222316322 163.299040887556 ENST00000521297 3646 EIF3E protein_coding
ENST00000441525.1 8 3 1803 20201281 1099616604 0.219641980237499 0.00151315786317038 145.154703011161 ENST00000441525 139425 DCAF8L1 protein_coding
ENST00000594164.1 321 125 114 20201281 1099616604 139.386679175653 0.99715775851469 139.783978999748 ENST00000594164 1891 ECH1 nonsense_mediated_decay
ENST00000586541.1 80 34 106 20201281 1099616604 37.3598575819066 0.291696865811543 128.077679127495 ENST00000586541 5573 PRKAR1A nonsense_mediated_decay
ENST00000405021.3 174 82 156 20201281 1099616604 55.21355875326 0.47802208854335 115.504199652173 ENST00000405021 54543 TOMM7 protein_coding
ENST00000589528.1 279 137 317 20201281 1099616604 43.5678402258401 0.393024854826055 110.852633595202 ENST00000589528 81 ACTN4 protein_coding
ENST00000522445.1 2 1 228 20201281 1099616604 0.434226414877423 0.00398863103405876 108.86602725837 ENST00000522445 3646 EIF3E nonsense_mediated_decay
ENST00000408959.2 3 2 873 20201281 1099616604 0.170109317168475 0.00208340865009255 81.6495204437778 ENST00000408959 646450 ARIH2OS protein_coding
ENST00000255381.2 63 47 5820 20201281 1099616604 0.535844349080696 0.00734401549157623 72.9634012476312 ENST00000255381 4622 MYH4 protein_coding
ENST00000525228.1 1506 1174 394 20201281 1099616604 189.212507136588 2.70975849276288 69.8263360524301 ENST00000525228 9235 IL32 protein_coding
ENST00000595567.1 606 603 52 20201281 1099616604 576.886493180613 10.5456336362795 54.7038246422657 ENST00000595567 1891 ECH1 protein_coding
ENST00000261336.2 1 1 4449 20201281 1099616604 0.0111265028761578 0.000204407254611238 54.4330136291852 ENST00000261336 5858 PZP protein_coding
ENST00000319801.5 1 1 2964 20201281 1099616604 0.016701015956824 0.000306817771850674 54.4330136291852 ENST00000319801 23369 PUM2 protein_coding
